Loan Name;Account ID;Account Holder ID;Account Holder Name;Account State;Account Sub-State;Loan Amount;Principal Due;Total Due;Principal Paid;Total Paid;Approval Date;Activation Date;Last Payment Date;Last Modified;Closed Date
AAA RD;KMCV597;5435;Client Activity RD;In Arrears;;5000,00;2402,50;2403,75;2597,50;2600,00;09-02-2022 17:14:50;11-02-2022;11-02-2022 12:54:26;06-12-2022 17:45:34;
Student Loan;PMLN158;552196744;Jane Doe;In Arrears;;7000,00;4200,00;5250,00;0,00;0,00;24-06-2020 07:46:40;22-05-2020;;06-12-2022 17:45:40;
BNPL - Dynamic;MARKETBANK-62ac5bbb13ad7;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 11:47:28;;;06-12-2022 17:45:22;
SO Bank BNPL ;862319395;089134365;Iara Silva;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 10:06:53;;;27-03-2023 10:06:52;
SO Mortgage Account - EUR;477083236;167639416;BHARATHI N;Approved;;10000,00;0,00;0,00;0,00;0,00;27-03-2023 11:32:56;;;27-03-2023 11:32:56;
SO Bank BNPL SME;907134470;205270106;EmpresaAngelina;Pending Approval;;1000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 11:36:31;
SO Mortgage Account - EUR;438177175;907274185;testgroup2;Pending Approval;;10000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 11:37:47;
txt;116436931;859605806;Angelina Jolie;Approved;;2000,00;0,00;0,00;0,00;0,00;27-03-2023 12:02:43;;;27-03-2023 12:02:43;
SO Mortgage Account - EUR;436957344;754884483;TestGroupA;Pending Approval;;2000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 12:33:53;
Construction Loan;VXKN186;1315;Diogo Miguel Dias;Pending Approval;;5000,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:36;
Agriculture Loan;L00072;00046;Martim Leitao Reis;Approved;;1150,00;0,00;0,00;0,00;0,00;30-03-2021 11:49:54;;;06-12-2022 17:45:27;
Agriculture Loan;ECKY264;454685763;Rui Matias;In Arrears;;950,00;950,00;1026,35;0,00;0,00;30-03-2021 12:48:51;30-03-2021;;06-12-2022 17:45:27;
WUBS Installments Loan EUR;L7951764082;290863488;Company_;In Arrears;Locked;100000,00;94918,66;162815,72;5081,34;5081,34;01-10-2021 10:50:39;01-10-2021;01-10-2021 10:54:14;06-12-2022 17:50:28;
Buy Now Pay Later;MARKETBANK-888186;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;59,99;0,00;0,00;0,00;0,00;13-06-2022 13:50:47;;;22-06-2022 16:24:08;22-06-2022 16:24:08
SO Mortgage Account - EUR;429057962;256723845;So_Mortgages_Group_test;Approved;;1000,00;0,00;0,00;0,00;0,00;03-03-2023 07:49:28;;;03-03-2023 07:49:27;
Agriculture Loan;L037;C03;Pedro Miguel Marquez;Approved;;1150,00;0,00;0,00;0,00;0,00;08-04-2021 18:50:35;;;06-12-2022 17:45:27;
Credit Card PT;L040;C07;Pedro Miguel Marquez;Approved;;5000,00;0,00;0,00;0,00;0,00;08-04-2021 18:50:55;;;06-12-2022 17:45:32;
Fishermen Group Loan;L042;C027;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;08-04-2021 18:50:56;;;06-12-2022 17:45:32;
Student Loan;L039;C06;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;08-04-2021 18:51:12;;;06-12-2022 17:45:41;
Buy Now Pay Later;MARKETBANK-667931;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;59,99;0,00;0,00;0,00;0,00;14-06-2022 12:45:47;;;22-06-2022 16:24:43;22-06-2022 16:24:44
BNPL - Dynamic;MARKETBANK-613585;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;15-06-2022 16:47:53;;;22-06-2022 16:25:46;22-06-2022 16:25:47
BNPL - Dynamic;MARKETBANK-264885;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;15-06-2022 17:03:52;;;22-06-2022 16:36:36;22-06-2022 16:36:36
Agriculture Loan;JOXJ536;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;10-02-2021 14:34:57;;;06-12-2022 17:45:19;
Agriculture Loan;HSKB890;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;10-02-2021 14:39:00;;;06-12-2022 17:45:20;
Agriculture Loan;LEOZ831;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;10-02-2021 14:51:39;;;06-12-2022 17:45:20;
SO Mortgage Account w/offset - EUR;423969212;769273359;Maria Pinto;Approved;;4000,00;0,00;0,00;0,00;0,00;05-07-2023 11:37:38;;;05-07-2023 11:37:38;
Agriculture Loan;L000491;00046;Martim Leitao Reis;Approved;;1150,00;0,00;0,00;0,00;0,00;12-03-2021 12:33:32;;;06-12-2022 17:45:26;
Buy Now Pay Later;1000001;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 17:37:36;;;06-12-2022 17:45:32;
Buy Now Pay Later;1000002;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 17:37:55;;;06-12-2022 17:45:32;
Buy Now Pay Later;1000003;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 17:38:06;;;06-12-2022 17:45:32;
Buy Now Pay Later;1000004;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 17:38:15;;;06-12-2022 17:45:32;
Buy Now Pay Later;1000005;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 17:38:29;;;06-12-2022 17:45:32;
Buy Now Pay Later;1000006;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 17:38:41;;;06-12-2022 17:45:33;
Agriculture Loan;L00011;00019;Afonso Silva Pereira;Approved;;800,00;0,00;0,00;0,00;0,00;22-02-2021 14:27:15;;;06-12-2022 17:45:33;
AAAA;IVTX481;303606211;Beatriz Toscano;Approved;;5000,00;0,00;0,00;0,00;0,00;29-06-2022 16:05:13;;;06-12-2022 17:45:35;
AAAA;ZPVH626;978755533;Nuno Tiago;Closed;Withdrawn;5000,00;0,00;0,00;0,00;0,00;29-06-2022 16:08:27;;;29-06-2022 16:11:09;29-06-2022 16:11:10
Auto Test;ZJES770;978755533;Nuno Tiago;Closed;;10000,00;0,00;0,00;10000,00;11667,00;29-06-2022 16:11:41;29-06-2022;29-06-2022 16:58:53;29-06-2022 16:58:52;29-06-2022 16:58:53
Auto_Loan_Test;JWKK930;978755533;Nuno Tiago;Rejected;;10000,00;0,00;0,00;0,00;0,00;;;;14-07-2022 11:00:56;14-07-2022 11:00:56
Agriculture Loan;HKOY408;358186306;Andre Costa Fernandes;Approved;;950,00;0,00;0,00;0,00;0,00;08-02-2021 16:30:49;;;06-12-2022 17:45:26;
Agriculture Loan;QZCU641;358186306;Andre Costa Fernandes;Approved;;970,00;0,00;0,00;0,00;0,00;08-02-2021 16:30:56;;;06-12-2022 17:45:26;
Agriculture Loan;XHIP156;358186306;Andre Costa Fernandes;Approved;;970,00;0,00;0,00;0,00;0,00;08-02-2021 16:33:00;;;06-12-2022 17:45:20;
Agriculture Loan;SZAP280;358186306;Andre Costa Fernandes;Approved;;970,00;0,00;0,00;0,00;0,00;08-02-2021 16:33:25;;;06-12-2022 17:45:20;
Banana Loan;UOPH055;358186306;Andre Costa Fernandes;Approved;;970,00;0,00;0,00;0,00;0,00;08-02-2021 16:43:04;;;06-12-2022 17:45:21;
Agriculture Loan;JSRH298;358186306;Andre Costa Fernandes;Approved;;750,00;0,00;0,00;0,00;0,00;08-02-2021 16:48:57;;;06-12-2022 17:45:21;
LoanProductTest;QOXO820;568367145;Corporate Customer Test;Pending Approval;;10000,00;0,00;0,00;0,00;0,00;;;;20-02-2023 16:19:36;
Retail Mortgage;MRTG-RET-SGCY535;678220976;James Theodore White;Closed;Withdrawn;150000,00;0,00;0,00;0,00;0,00;30-03-2021 08:33:55;;;07-04-2021 14:05:06;07-04-2021 14:05:06
SO Bank BNPL ;869843635;550185700;Ariel Mermaid;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 16:36:48;;;27-03-2023 16:36:48;
Agriculture Loan;XKWS599;654249467;Eduardo Godinho RD;Approved;;950,00;0,00;0,00;0,00;0,00;09-05-2022 16:34:12;;;06-12-2022 17:45:31;
Agriculture Loan;ZNSC351;358186306;Andre Costa Fernandes;Approved;;750,00;0,00;0,00;0,00;0,00;09-02-2021 18:19:54;;;06-12-2022 17:45:21;
Agriculture Loan;WJXN054;358186306;Andre Costa Fernandes;Approved;;750,00;0,00;0,00;0,00;0,00;09-02-2021 18:23:30;;;06-12-2022 17:45:22;
Agriculture Loan;ENRN812;358186306;Andre Costa Fernandes;Approved;;750,00;0,00;0,00;0,00;0,00;09-02-2021 20:08:57;;;06-12-2022 17:45:22;
Agriculture Loan;SVLT872;358186306;Andre Costa Fernandes;Approved;;750,00;0,00;0,00;0,00;0,00;09-02-2021 20:11:09;;;06-12-2022 17:45:22;
Agriculture Loan;OEQO546;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;09-02-2021 20:17:02;;;06-12-2022 17:45:22;
Short Term Loan;RWPB091;1;Kulthoom Nwankwo;Approved;;2000,00;0,00;0,00;0,00;0,00;17-09-2021 11:41:41;;;06-12-2022 17:45:20;
Personal Loan test MM;IZTC568;920770673;John  Peter Smith;In Arrears;;2500,00;2405,83;2509,67;94,17;100,00;17-09-2021 12:46:17;13-09-2021;17-09-2021 12:49:08;06-12-2022 17:45:27;
AAAA;DDLA017;920770673;John  Peter Smith;In Arrears;;5000,00;3750,00;3900,00;1250,00;1300,00;17-09-2021 14:26:59;17-09-2021;17-09-2021 14:28:24;06-12-2022 17:45:33;
Personal Loan;ZTAY554;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;05-03-2021 11:28:48;;;06-12-2022 17:45:43;
Personal Loan;SOQX264;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;05-03-2021 11:36:54;;;06-12-2022 17:45:44;
Agriculture Loan;XTTH536;00045;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;05-03-2021 11:45:24;;;06-12-2022 17:45:26;
kredit-test;EAXD586;178349251;Clara Wieck;Approved;;2000,00;0,00;0,00;0,00;0,00;06-06-2023 16:29:00;;;06-06-2023 16:28:59;
SO Bank BNPL ;864601932;550185700;Ariel Mermaid;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 16:32:02;;;27-03-2023 16:32:01;
BNPL;JQIB359;243772958;Carol Amandino;Active;;500,00;0,00;0,00;0,00;0,00;31-01-2023 11:38:39;26-07-2023;;26-07-2023 10:47:36;
BNPL - Dynamic;UKUR460;299268506;Client Nuno Faria;In Arrears;;10000,00;7143,26;10270,27;800,00;800,00;10-04-2023 10:51:28;10-04-2023;10-04-2023 10:54:37;08-08-2023 04:51:17;
AAAA;TEGL006;087710456;Afonso Carvalho Pereira;Approved;;5000,00;0,00;0,00;0,00;0,00;15-09-2022 16:24:03;;;06-12-2022 17:45:35;
BNPL - Dynamic;MARKETBANK-674739;881857316;Joud  Zaumot;Closed (Written Off);;79,99;0,00;0,00;26,66;26,66;22-06-2022 16:32:28;22-06-2022;23-06-2022 09:36:06;23-06-2022 16:18:57;23-06-2022 16:18:57
Agriculture Loan;ZVEE114;245057549;CC_EUR Test;In Arrears;;950,00;950,00;1026,35;0,00;0,00;18-05-2021 13:42:29;18-05-2021;;06-12-2022 17:45:28;
Term Loan - Test;PMKX688;243772958;Carol Amandino;In Arrears;;1500,00;983,24;25997,71;516,76;516,76;02-02-2023 12:25:51;02-02-2023;02-02-2023 12:30:56;08-08-2023 04:40:30;
BNPL;KILU859;243772958;Carol Amandino;Approved;;500,00;0,00;0,00;0,00;0,00;01-02-2023 17:01:11;;;01-02-2023 17:01:11;
Term Loan - Test3;BWDR175;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;01-02-2023 18:11:57;;;01-02-2023 18:11:57;
Term Loan - Test3;CTYQ623;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;01-02-2023 18:16:12;;;01-02-2023 18:16:12;
Term Loan - Test5;OAGL750;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;01-02-2023 18:29:08;;;01-02-2023 18:29:07;
Term Loan - Test5;CWFP021;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;01-02-2023 18:29:30;;;01-02-2023 18:29:29;
BNPL - Dynamic Test;ZBWD543;303606211;Beatriz Toscano;Approved;;1500,00;0,00;0,00;0,00;0,00;01-02-2023 18:39:56;;;01-02-2023 18:39:55;
Buy Now Pay Later;MARKETBANK-541266;MARKETBANK-1;Gil Pinto;In Arrears;;79,99;79,99;79,99;0,00;0,00;14-06-2022 14:45:48;14-06-2022;;06-12-2022 17:45:33;
Capitalized Fee test;GPUM327;777842306;Vitor RD;In Arrears;;1000,00;902,80;902,80;98,48;111,00;04-03-2022 11:53:18;04-05-2022;04-05-2022 09:54:22;06-12-2022 17:45:24;
SO Mortgage Account - EUR;443181431;243772958;Carol Amandino;Approved;;100000,00;0,00;0,00;0,00;0,00;24-07-2023 18:15:15;;;24-07-2023 18:15:15;
SO Mortgage Account - EUR;419210963;243772958;Carol Amandino;Approved;;100000,00;0,00;0,00;0,00;0,00;24-07-2023 18:34:55;;;24-07-2023 18:34:55;
Retail Mortgage;MRTG-RET-UHNK015;678220976;James Theodore White;Closed;Withdrawn;200000,00;0,00;0,00;0,00;0,00;26-03-2021 10:18:06;;;26-03-2021 13:51:07;26-03-2021 13:51:07
Loan Product XX;TSOR088;640670349;Catarina Silva;In Arrears;;15000,00;5030,21;5030,21;9969,79;10000,00;23-05-2022 10:45:19;23-05-2022;23-05-2022 11:03:54;06-12-2022 17:45:40;
BNPL - Dynamic;MARKETBANK-62ac4dfc10b4d;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 10:49:00;;;06-12-2022 17:45:20;
StudentEducationalLoan;TJJB180;167639416;BHARATHI N;In Arrears;;50000,00;25000,02;27125,03;0,00;0,00;30-01-2023 14:10:11;31-01-2023;;31-07-2023 08:23:59;
Agriculture Loan;RAEC332;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;22-02-2021 09:36:34;;;06-12-2022 17:45:31;
Agriculture Loan;CNFQ310;00053;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;02-03-2021 15:16:26;;;06-12-2022 17:45:25;
Car Loan;CNFI162;1315;Diogo Miguel Dias;Approved;;1150,00;0,00;0,00;0,00;0,00;02-03-2021 16:48:23;;;06-12-2022 17:45:19;
Fishermen Group Loan;YZYP449;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;02-03-2021 17:40:56;;;06-12-2022 17:45:40;
Student Loan;L00041;00048;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;02-03-2021 17:46:58;;;06-12-2022 17:45:40;
Student Loan;L00045;00048;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;02-03-2021 17:48:50;;;06-12-2022 17:45:40;
SO Mortgage Account EURIBOR  - EUR ;444023449;243772958;Carol Amandino;Active;;50000,00;0,00;0,00;0,00;0,00;25-07-2023 15:39:58;25-07-2023;;26-07-2023 09:53:36;
SO Mortgage Account EURIBOR  - EUR ;464244033;243772958;Carol Amandino;Active;;50000,00;0,00;0,00;0,00;0,00;25-07-2023 15:43:40;25-07-2023;;25-07-2023 16:53:03;
testeMortFree;XELW203;769273359;Maria Pinto;Pending Approval;;100,00;0,00;0,00;0,00;0,00;;;;25-07-2023 16:37:57;
USE CASE LOAN;L8386883598;000000837;UC - Customer 2 ACC;In Arrears;Locked;4500000,00;4500000,00;4528750,00;0,00;28437,50;28-06-2021 15:24:21;31-03-2021;13-07-2021 16:50:09;06-12-2022 17:45:42;
StudentEducationalLoan;XFSX584;167639416;BHARATHI N;Closed (Written Off);;10000,00;0,00;0,00;500,00;500,00;03-02-2023 10:46:20;02-02-2023;02-02-2023 00:00:00;28-02-2023 10:21:01;28-02-2023 10:21:02
Agriculture Loan;YEFD301;00053;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;01-03-2021 16:59:07;;;06-12-2022 17:45:24;
Agriculture Loanllll;BLIJ761;00053;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;01-03-2021 17:06:06;;;06-12-2022 17:45:24;
Term Loan WUBS AT EUR 3M+;L3653873707;290863488;Company_;Active;;100000,00;0,00;0,00;100000,00;100011,11;20-09-2021 09:06:36;20-09-2021;23-09-2021 09:17:13;06-12-2022 17:50:18;
Credit Card PT;L054;C054;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;14-04-2021 13:04:11;;;06-12-2022 17:45:32;
Agriculture Loan;L00014;00022;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;22-02-2021 16:08:03;;;06-12-2022 17:45:33;
Agriculture Loan;L00015;00023;Pedro Miguel Marquez;Approved;;800,00;0,00;0,00;0,00;0,00;22-02-2021 16:08:04;;;06-12-2022 17:45:33;
Agriculture Loan;L00019;00027;Pedro Miguel Marquez;Approved;;800,00;0,00;0,00;0,00;0,00;22-02-2021 16:14:14;;;06-12-2022 17:45:34;
Agriculture Loan;L00020;00028;Andre Drumond Mateus;Approved;;900,00;0,00;0,00;0,00;0,00;22-02-2021 16:14:14;;;06-12-2022 17:45:34;
Agriculture Loan;L00024;00032;Andre Drumond Mateus;Approved;;900,00;0,00;0,00;0,00;0,00;22-02-2021 16:22:08;;;06-12-2022 17:45:20;
Agriculture Loan;L00026;00034;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;22-02-2021 17:13:54;;;06-12-2022 17:45:21;
Agriculture Loan;L044;C051;Martim Leitao Reis;Approved;;1150,00;0,00;0,00;0,00;0,00;09-04-2021 10:34:08;;;06-12-2022 17:45:28;
Construction Loan;L043;C050;Andre Drumond Mateus;Pending Approval;;13111751500,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:37;
Credit Card PT;L047;C054;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;09-04-2021 10:34:31;;;06-12-2022 17:45:32;
TL - RECON USE CASE;L0063901086;000000837;UC - Customer 2 ACC;In Arrears;Locked;4500000,00;4500000,00;4528437,50;0,00;0,00;28-06-2021 15:24:28;31-03-2021;;06-12-2022 17:45:42;
Fishermen Group Loan;VCUW239;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;04-03-2021 11:07:34;;;06-12-2022 17:45:29;
Construction Loan;OBID284;1315;Diogo Miguel Dias;Pending Approval;;5000,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:35;
Agriculture Loan;PSLM362;015607240;Marisa  Faria Nascimento;Active;Partially Disbursed;92,35;0,00;0,00;0,00;0,00;21-03-2022 09:55:08;;;21-03-2022 09:55:08;
Agriculture Loan;4567;4567;Maria Graca Cardoso;In Arrears;;1150,00;1150,00;1736,46;0,00;0,00;12-02-2021 00:00:00;22-02-2021;;06-12-2022 17:45:24;
Agriculture Loan;4568;4568;Martim Leitao Reis;In Arrears;;1145,00;1145,00;1739,39;0,00;0,00;12-02-2021 00:00:00;22-02-2021;;06-12-2022 17:45:25;
Agriculture Loan;4569;4569;Pedro Miguel Marquez;In Arrears;;800,00;300,00;551,68;0,00;0,00;22-02-2021 00:00:00;22-02-2021;;02-03-2023 01:23:30;
Agriculture Loan;4566;4566;Andre Drumond Mateus;Active;;900,00;0,00;0,00;225,00;473,91;22-02-2021 00:00:00;22-02-2021;28-07-2021 17:12:27;06-12-2022 17:45:31;
Buy Now Pay Later;MARKETBANK-348145;MARKETBANK-G62a1e41f660ff;Abl2berto GSo2mes;Approved;;79,99;0,00;0,00;0,00;0,00;09-06-2022 13:15:03;;;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-444899;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;69,99;0,00;0,00;0,00;0,00;09-06-2022 13:45:43;;;22-06-2022 16:23:20;22-06-2022 16:23:21
Buy Now Pay Later;MARKETBANK-2;810233400;Pedro3 Gomes3;Approved;;1000,89;0,00;0,00;0,00;0,00;09-06-2022 14:17:48;;;06-12-2022 17:45:33;
Agriculture Loan;L00082;131117515;Pedro Miguel Marquez;Approved;;1150,00;0,00;0,00;0,00;0,00;05-04-2021 19:13:38;;;06-12-2022 17:45:27;
Credit Card PT;L00085;00046;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;05-04-2021 19:14:05;;;06-12-2022 17:45:30;
Auto Test;HLEV979;311202002;Joao Reis Client;In Arrears;;5000,00;3266,69;3325,00;483,34;500,00;19-10-2022 16:25:05;19-10-2022;19-10-2022 16:29:00;31-01-2023 01:09:01;
SO Mortgage Account - EUR;488960529;243772958;Carol Amandino;Approved;;100000,00;0,00;0,00;0,00;0,00;24-07-2023 16:37:18;;;24-07-2023 16:37:17;
SO Mortgage Account - EUR;446181043;243772958;Carol Amandino;Approved;;100000,00;0,00;0,00;0,00;0,00;24-07-2023 18:07:13;;;24-07-2023 18:07:13;
Agriculture Loan;TBYY487;1;Kulthoom Nwankwo;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 13:30:41;;;06-12-2022 17:45:28;
Agriculture Loan;VFLX954;2;Uros غلامرضایی;Approved;;1145,00;0,00;0,00;0,00;0,00;17-02-2021 13:30:44;;;06-12-2022 17:45:28;
Agriculture Loan;DMJV361;1;Kulthoom Nwankwo;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 14:13:14;;;06-12-2022 17:45:29;
Agriculture Loan;CZEV077;4;Okeke Jerebinšek;Approved;;900,00;0,00;0,00;0,00;0,00;17-02-2021 14:13:16;;;06-12-2022 17:45:29;
Agriculture Loan;XUXX652;4;Okeke Jerebinšek;Approved;;900,00;0,00;0,00;0,00;0,00;17-02-2021 14:26:59;;;06-12-2022 17:45:29;
Agriculture Loan;EQFC813;3;Nina Quynh;Approved;;800,00;0,00;0,00;0,00;0,00;17-02-2021 15:01:52;;;06-12-2022 17:45:30;
Retail Mortgage;MRTG-RET-SCBK889;678220976;James Theodore White;Closed;Withdrawn;123456,00;0,00;0,00;0,00;0,00;22-03-2021 19:35:07;;;22-03-2021 19:36:24;22-03-2021 19:36:25
Retail Mortgage;MRTG-RET-MKAV145;678220976;James Theodore White;Closed;Withdrawn;1234567890,00;0,00;0,00;0,00;0,00;22-03-2021 19:42:10;;;22-03-2021 19:57:34;22-03-2021 19:57:34
Capitalized Fee test;L00059;00048;Andre Drumond Mateus;Approved;;1145,00;0,00;0,00;0,00;0,00;24-03-2021 12:00:47;;;06-12-2022 17:45:22;
smeloan45;WBWS150;205270106;EmpresaAngelina;Approved;;100,00;0,00;0,00;0,00;0,00;28-02-2023 16:52:33;;;28-02-2023 16:52:33;
smeloan45;AUMA248;205270106;EmpresaAngelina;Pending Approval;;100,00;0,00;0,00;0,00;0,00;;;;28-02-2023 16:52:05;
Personal Loan;TZJV602;755038585;Teresa Varandas;Closed (Written Off);;2000,00;0,00;0,00;0,00;0,00;04-08-2020 10:46:18;04-08-2020;;04-08-2020 10:52:00;04-08-2020 10:52:00
Term Loan WUBS AT EUR 3M+;L3885292024;290863488;Company_;In Arrears;Locked;10000000,00;10000000,00;16438266,48;0,00;0,00;10-02-2022 12:01:33;10-02-2022;;06-12-2022 17:50:27;
Term Loan WUBS AT EUR 3M+;L3974065718;290863488;Company_;In Arrears;Locked;100000,00;100000,00;230076,85;0,00;0,00;10-02-2022 12:26:14;10-02-2022;;06-12-2022 17:50:28;
SO Mortgage Account - EUR;414081364;167639416;BHARATHI N;Closed (Written Off);;5000,00;0,00;0,00;2000,00;2000,00;28-02-2023 11:58:40;03-03-2023;03-03-2023 08:29:22;03-03-2023 08:29:34;03-03-2023 08:29:34
BNPL - Dynamic;MARKETBANK-909630;881857316;Joud  Zaumot;Closed;;59,99;0,00;0,00;59,99;59,99;24-06-2022 14:35:29;24-06-2022;27-06-2022 03:06:09;27-06-2022 03:06:09;27-06-2022 03:06:09
BNPL - Dynamic;MARKETBANK-936505;881857316;Joud  Zaumot;Closed;;59,99;0,00;0,00;59,99;59,99;27-06-2022 03:26:42;27-06-2022;27-06-2022 03:27:14;27-06-2022 03:27:14;27-06-2022 03:27:15
BNPL - Dynamic;MARKETBANK-211530;881857316;Joud  Zaumot;Closed;;79,99;0,00;0,00;79,99;79,99;27-06-2022 10:05:33;27-06-2022;27-06-2022 14:52:12;27-06-2022 14:52:12;27-06-2022 14:52:12
BNPL - Dynamic;MARKETBANK-305358;881857316;Joud  Zaumot;Closed;;139,99;0,00;0,00;139,99;139,99;27-06-2022 11:56:03;27-06-2022;27-06-2022 14:52:04;27-06-2022 14:52:04;27-06-2022 14:52:05
BNPL - Dynamic;MARKETBANK-234590;881857316;Joud  Zaumot;Closed;;79,99;0,00;0,00;79,99;79,99;27-06-2022 13:30:53;27-06-2022;27-06-2022 14:52:23;27-06-2022 14:52:23;27-06-2022 14:52:24
Mortgages Test Product;FPZW721;167639416;BHARATHI N;In Arrears;;10000,00;3512,04;3631,46;6487,96;6500,00;08-02-2023 09:16:50;07-02-2023;13-02-2023 09:55:25;07-08-2023 07:55:26;
BNPL - Dynamic;MARKETBANK-62ac53efe53b6;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 11:21:33;;;06-12-2022 17:45:21;
Mortgages Test Product;OEGF516;364154791;Vanessa Silva;Approved;;10000,00;0,00;0,00;0,00;0,00;23-02-2023 10:57:17;;;23-02-2023 10:57:16;
Agriculture Loan;OLHI049;299268506;Client Nuno Faria;Approved;;950,00;0,00;0,00;0,00;0,00;29-01-2021 16:45:33;;;06-12-2022 17:45:25;
Agriculture Loan;ZRLD134;299268506;Client Nuno Faria;Approved;;950,00;0,00;0,00;0,00;0,00;04-05-2021 18:01:08;;;06-12-2022 17:45:25;
Agriculture Loan;CEGB156;299268506;Client Nuno Faria;Approved;;950,00;0,00;0,00;0,00;0,00;29-01-2021 16:45:51;;;06-12-2022 17:45:25;
Credit Card PT;UUNW897;299268506;Client Nuno Faria;Approved;;5000,00;0,00;0,00;0,00;0,00;29-01-2021 16:46:29;;;06-12-2022 17:45:29;
Fishermen Group Loan;L00070;0;گلشن Chinwenma;Approved;;5000,00;0,00;0,00;0,00;0,00;29-03-2021 18:05:24;;;06-12-2022 17:45:30;
Personal Loan;L00069;0;گلشن Chinwenma;Approved;;5000,00;0,00;0,00;0,00;0,00;29-03-2021 18:17:00;;;06-12-2022 17:45:44;
Student Loan;L00067;0;گلشن Chinwenma;Approved;;5000,00;0,00;0,00;0,00;0,00;29-03-2021 18:17:00;;;06-12-2022 17:45:41;
Buy Now Pay Later;MARKETBANK-741109;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;59,99;0,00;0,00;0,00;0,00;13-06-2022 12:57:36;;;22-06-2022 16:23:40;22-06-2022 16:23:41
Buy Now Pay Later;MARKETBANK-177885;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;139,99;0,00;0,00;0,00;0,00;13-06-2022 13:30:03;;;22-06-2022 16:24:04;22-06-2022 16:24:04
